Ticket_ID,Created_Date,Resolved_Date,Agent,Customer,Subject/Description,Category,Priority,Status,Tags,Sentiment
T019,2026-01-05 9:00,2026-01-05 11:20,Agent A,Customer S,Refund not received after cancellation,Billing & Payment,High,Resolved,"refund, payment-issue",Negative
T025,2026-01-05 9:45,2026-01-05 10:30,Agent A,Customer Y,Payment gateway timeout error,Billing & Payment,High,Resolved,"payment-issue, gateway-error",Negative
T012,2026-01-05 14:10,2026-01-05 15:30,Agent C,Customer L,Subscription auto-renewal failed,Billing & Payment,High,Resolved,"subscription-renewal-failed, payment-issue",Negative
T040,2026-01-09 9:40,2026-01-09 11:00,Agent A,Customer AN,Refund request delayed,Billing & Payment,High,Resolved,"refund-delay, payment-issue",Negative
T023,2026-01-09 12:00,2026-01-09 13:40,Agent B,Customer W,Incorrect tax applied on invoice,Billing & Payment,High,Resolved,"tax-issue, invoice-error",Negative
T016,2026-01-09 12:50,2026-01-09 14:10,Agent A,Customer P,Invoice PDF not downloadable,Billing & Payment,High,Resolved,"invoice-pdf, download-error",Negative
T030,2026-01-10 11:00,2026-01-10 12:30,Agent C,Customer AD,Charged extra for subscription plan,Billing & Payment,High,Resolved,"overcharge, subscription-billing",Negative
T035,2026-01-10 12:20,2026-01-10 13:50,Agent B,Customer AI,Payment failed multiple times,Billing & Payment,High,Resolved,"payment-failed, checkout-error",Negative
T011,2026-01-04 13:30,2026-01-04 15:00,Agent B,Customer K,Account locked after multiple attempts,Login & Access,High,Resolved,"account-locked, login-issue",Negative
T037,2026-01-06 8:50,2026-01-06 10:20,Agent A,Customer AK,Cannot log in after password reset,Login & Access,High,Resolved,"login-issue, password-reset",Negative
T027,2026-01-07 9:50,2026-01-07 10:40,Agent C,Customer AA,Locked out after password reset attempt,Login & Access,High,Resolved,"account-locked, password-reset",Negative
T022,2026-01-08 11:30,2026-01-08 13:00,Agent A,Customer V,Two-factor authentication not working,Login & Access,High,Resolved,"2fa-error, login-issue",Negative
T032,2026-01-08 12:15,2026-01-08 13:45,Agent B,Customer AF,Login blocked due to suspicious activity,Login & Access,High,Resolved,"login-blocked, security",Negative
T017,2026-01-10 9:10,2026-01-10 10:40,Agent B,Customer Q,Password reset link expired,Login & Access,High,Resolved,"password-reset, login-issue",Negative
T020,2026-01-06 9:30,2026-01-06 11:00,Agent B,Customer T,Add dark mode for dashboard,Feature Request,Low,Resolved,"dark-mode, feature-request",Neutral
T034,2026-01-07 9:10,2026-01-07 11:00,Agent A,Customer AH,Add option to export data,Feature Request,Low,Resolved,"data-export, feature-request",Neutral
T014,2026-01-08 8:40,2026-01-08 10:00,Agent B,Customer N,Request for multiple language support,Feature Request,Low,Resolved,"language-support, feature-request",Neutral
T039,2026-01-08 9:30,2026-01-08 11:00,Agent C,Customer AM,Request for light theme in dashboard,Feature Request,Low,Resolved,"light-theme, feature-request",Neutral
T029,2026-01-09 10:20,2026-01-09 11:50,Agent B,Customer AC,Request for weekly activity summary email,Feature Request,Low,Resolved,"activity-summary, feature-request",Neutral
T024,2026-01-10 9:50,2026-01-10 11:20,Agent C,Customer X,Add custom notification sounds,Feature Request,Low,Resolved,"notification-sounds, feature-request",Neutral
T036,2026-01-05 11:00,2026-01-05 12:50,Agent C,Customer AJ,Issue with account verification,Account Management,Medium,Resolved,"account-verification, security",Negative
T026,2026-01-06 10:45,2026-01-06 12:15,Agent B,Customer Z,Unable to link social media account,Account Management,Medium,Resolved,"social-media-link, integration-error",Negative
T031,2026-01-06 12:00,2026-01-06 13:20,Agent A,Customer AE,Cannot update contact information,Account Management,Medium,Resolved,"contact-info, bug",Negative
T021,2026-01-07 11:20,2026-01-07 12:50,Agent C,Customer U,Change of email not reflecting,Account Management,Medium,Resolved,"email-update, account-settings",Negative
T038,2026-01-07 13:00,2026-01-07 14:30,Agent B,Customer AL,App freezes during checkout,Account Management,Medium,Resolved,"app-freeze, checkout",Negative
T015,2026-01-09 9:00,2026-01-09 10:30,Agent C,Customer O,Cannot change profile picture,Account Management,Medium,Resolved,"profile-update, account-management-error",Negative
T018,2026-01-04 14:15,2026-01-04 16:00,Agent C,Customer R,App crashes on settings page,Technical Issue,Medium,Resolved,"app-crash, bug",Negative
T033,2026-01-05 12:30,2026-01-05 13:45,Agent C,Customer AG,Error 404 when accessing profile,Technical Issue,Medium,Resolved,"error-404, profile-access",Negative
T013,2026-01-06 13:45,2026-01-06 15:00,Agent A,Customer M,Error during checkout,Technical Issue,Medium,Resolved,"checkout-error, payment-issue",Negative
T028,2026-01-08 10:15,2026-01-08 11:50,Agent A,Customer AB,App slow when uploading images,Technical Issue,Medium,Resolved,"slow-performance, image-upload",Negative
